"","FIPS","GeoName","year","rpp_goods","rpp_services_housing","rpp_services_other","rpp_services_utilities","rpp_all_items"
"2834","31020","Longview, WA (Metropolitan Statistical Area)",2014,"97.876","86.258","100.027","87.838","96.206"
"2835","31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",2014,"106.172","175.884","101.716","82.569","110.746"
"2836","31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",2014,"97.635","79.508","100.187","103.301","96.028"
"2837","31180","Lubbock, TX (Metropolitan Statistical Area)",2014,"97.413","83.762","100.149","115.351","96.852"
"2838","31340","Lynchburg, VA (Metropolitan Statistical Area)",2014,"96.572","71.761","99.61","100.612","92.58"
"2839","31420","Macon-Bibb County, GA (Metropolitan Statistical Area)",2014,"96.308","57.03","99.965","111.509","89.209"
"2840","31460","Madera, CA (Metropolitan Statistical Area)",2014,"96.798","86.566","100.893","82.396","95.981"
"2841","31540","Madison, WI (Metropolitan Statistical Area)",2014,"98.37","105.633","96.11","93.848","98.103"
"2842","31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",2014,"103.831","133.404","97.837","79.331","103.232"
"2843","31740","Manhattan, KS (Metropolitan Statistical Area)",2014,"95.153","100.397","94.402","114.538","96.049"
"2844","31860","Mankato, MN (Metropolitan Statistical Area)",2014,"94.792","71.741","93.889","87.94","90.042"
"2845","31900","Mansfield, OH (Metropolitan Statistical Area)",2014,"98.617","57.138","96.432","98.659","88.998"
"2846","32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",2014,"97.646","57.441","100.219","115.279","90.133"
"2847","32780","Medford, OR (Metropolitan Statistical Area)",2014,"96.393","95.305","101.466","86.03","98.112"
"2848","32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",2014,"97.581","78.118","100.233","105.955","95.545"
"2849","32900","Merced, CA (Metropolitan Statistical Area)",2014,"96.798","81.7","100.893","82.466","95.674"
"2850","33100","Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",2014,"100.22","139.39","100.342","93.88","105.797"
"2851","33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",2014,"96.063","70.248","93.079","105.827","90.266"
"2852","33220","Midland, MI (Metropolitan Statistical Area)",2014,"98.45","73.67","96.764","99.588","93.372"
"2853","33260","Midland, TX (Metropolitan Statistical Area)",2014,"97.537","144.132","100.186","115.26","104.214"
"2854","33340","Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",2014,"95.225","102.02","97.516","93.851","97.233"
"2855","33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",2014,"104.026","114.502","101.345","88.111","103.602"
"2856","33540","Missoula, MT (Metropolitan Statistical Area)",2014,"97.481","88.638","99.505","79.87","96.407"
